Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2007-01-04,3.847331,4.02791,3.812218,3.887459,23970.0,,
2007-01-05,3.852347,4.113183,3.837299,4.103151,23678.0,,
2007-01-08,4.088102,4.253633,4.063022,4.203472,16803.0,,
2007-01-09,4.213504,4.238585,4.143279,4.208488,12941.0,,
2007-01-10,4.203472,4.539549,4.148295,4.514469,30647.0,,
2007-01-11,4.494405,4.735176,4.419164,4.579678,26152.0,,
2007-01-12,4.529517,4.629839,4.338906,4.519485,21558.0,,
2007-01-15,4.685016,4.725144,4.444244,4.654919,43263.0,,
2007-01-16,4.654919,4.659935,4.519485,4.579678,20404.0,,
2007-01-17,4.579678,4.579678,4.363987,4.409131,21118.0,,
2007-01-18,4.389067,4.459292,4.298778,4.414147,12744.0,,
2007-01-19,4.429196,4.56463,4.429196,4.544565,15286.0,,
2007-01-22,4.554598,4.639871,4.539549,4.614791,20412.0,,
2007-01-23,4.624823,4.634855,4.389067,4.519485,16998.0,,
2007-01-24,4.514469,4.644887,4.429196,4.624823,20332.0,,
2007-01-25,4.594726,4.795369,4.489389,4.669967,32095.0,,
2007-01-26,4.609774,4.685016,4.414147,4.614791,17889.0,,
2007-01-29,4.654919,5.006045,4.654919,4.975948,35228.0,,
2007-01-30,4.975948,4.996012,4.815434,4.875627,15797.0,,
2007-01-31,4.84553,5.056205,4.770289,4.840514,21525.0,,
2007-02-01,4.765273,4.920771,4.70508,4.810418,14153.0,,
2007-02-02,4.815434,5.016077,4.775305,4.920771,26110.0,,
2007-02-05,4.925787,5.106366,4.765273,5.081286,22499.0,,
2007-02-06,5.081286,5.141479,4.965916,5.026109,16378.0,,
2007-02-07,5.041157,5.527716,5.041157,5.527716,31128.0,,
2007-02-08,5.61299,5.818649,5.532733,5.683215,24093.0,,
2007-02-09,5.668167,6.250032,5.557813,5.929003,35878.0,,
2007-02-12,5.89389,6.189839,5.843729,6.00926,11929.0,,
2007-02-13,6.004244,6.515884,6.004244,6.370417,12789.0,,
2007-02-14,6.390482,6.621221,6.280128,6.360385,18611.0,,
2007-02-15,6.370417,6.5209,6.320257,6.470739,10831.0,,
2007-02-16,6.495819,6.5209,6.295176,6.335305,9295.0,,
2007-02-19,6.335305,6.335305,6.335305,6.335305,0.0,,
2007-02-20,6.335305,6.335305,6.335305,6.335305,0.0,,
2007-02-21,6.335305,6.335305,6.335305,6.335305,0.0,,
2007-02-22,6.335305,6.335305,6.335305,6.335305,0.0,,
2007-02-23,6.335305,6.335305,6.335305,6.335305,0.0,,
2007-02-26,6.315241,6.355369,6.064437,6.330289,9397.0,,
2007-02-27,6.300192,6.300192,5.698263,5.698263,15941.0,,
2007-02-28,5.271897,5.768488,5.271897,5.708295,17614.0,,
2007-03-01,5.607974,5.618006,5.327073,5.447459,11243.0,,
2007-03-02,5.432411,5.743408,5.417363,5.597942,9064.0,,
2007-03-05,5.542765,5.748424,5.347138,5.517684,8536.0,,
2007-03-06,5.467524,6.069453,5.442443,5.959099,19934.0,,
2007-03-07,5.959099,6.094533,5.873826,6.00926,10233.0,,
2007-03-08,6.00926,6.119614,5.969131,6.089517,6871.0,,
2007-03-09,6.089517,6.144694,5.89389,5.944051,6453.0,,
2007-03-12,5.91897,6.059421,5.768488,6.029324,7678.0,,
2007-03-13,6.024308,6.410546,5.994212,6.345337,14828.0,,
2007-03-14,6.26508,6.54598,6.03434,6.370417,15408.0,,
2007-03-15,6.370417,6.460707,6.280128,6.395498,6335.0,,
2007-03-16,6.415562,6.415562,6.019292,6.074469,10205.0,,
2007-03-19,5.908938,6.184823,5.823665,6.144694,5593.0,,
2007-03-20,6.139678,6.144694,5.999228,6.114597,7500.0,,
2007-03-21,6.069453,6.144694,6.054405,6.109581,6116.0,,
2007-03-22,6.104565,6.270096,6.079485,6.114597,6414.0,,
